dataset,model,train_r2,test_r2
1199_BNG_echoMonths,DecisionTreeRegressor(max_depth=4),0.5885315137802166,0.2543932682857796
1199_BNG_echoMonths,RandomForestRegressor(),0.9147388099030416,0.3648871540432971
1199_BNG_echoMonths,GradientBoostingRegressor(),0.8661569907257367,0.3322821205264533
1201_BNG_breastTumor,DecisionTreeRegressor(max_depth=1),0.0455905279403935,0.0381983732954035
1201_BNG_breastTumor,DecisionTreeRegressor(max_depth=4),0.2707068556727631,-0.0882389822010834
1201_BNG_breastTumor,RandomForestRegressor(),0.8557320845577414,-0.0289759127811266
1201_BNG_breastTumor,GradientBoostingRegressor(),0.7202599475942493,-0.072811251204143
1203_BNG_pwLinear,DecisionTreeRegressor(max_depth=1),0.4535115111930783,0.3963026238363561
1203_BNG_pwLinear,DecisionTreeRegressor(max_depth=4),0.6711135122565655,0.5294799846808897
1203_BNG_pwLinear,RandomForestRegressor(),0.9335572840424172,0.5425823327266504
1203_BNG_pwLinear,GradientBoostingRegressor(),0.8166695027248869,0.5259208889737692
1595_poker,DecisionTreeRegressor(max_depth=1),0.0246643354628834,-0.0309486348069742
1595_poker,DecisionTreeRegressor(max_depth=4),0.3020234193939779,-0.4632257008316458
1595_poker,RandomForestRegressor(),0.8496018318965517,-0.0745143328234956
1595_poker,GradientBoostingRegressor(),0.706258401871648,-0.1843177556931088
215_2dplanes,DecisionTreeRegressor(max_depth=1),0.4037673964043263,0.4521111887069841
215_2dplanes,DecisionTreeRegressor(max_depth=4),0.9017028314497006,0.88715000858678
215_2dplanes,RandomForestRegressor(),0.9861812071729308,0.9196022488784852
215_2dplanes,GradientBoostingRegressor(),0.9670258442905152,0.9248934961600384
218_house_8L,DecisionTreeRegressor(max_depth=1),0.2745988070807758,0.2505624050446476
218_house_8L,DecisionTreeRegressor(max_depth=4),0.8155202226161805,-0.3833335002768552
218_house_8L,RandomForestRegressor(),0.8995844238859765,0.4776473760354471
218_house_8L,GradientBoostingRegressor(),0.9770627676471034,0.4368024235180651
225_puma8NH,DecisionTreeRegressor(max_depth=1),0.33983648473422,0.2557762944639096
225_puma8NH,DecisionTreeRegressor(max_depth=4),0.7422854103831096,0.4113987510111685
225_puma8NH,RandomForestRegressor(),0.9489021209200944,0.5726441941155871
225_puma8NH,GradientBoostingRegressor(),0.932702479090624,0.5652078531234842
344_mv,DecisionTreeRegressor(max_depth=1),0.4679460776838497,0.3979106722105712
344_mv,DecisionTreeRegressor(max_depth=4),0.9614151987221412,0.9450071775278902
344_mv,RandomForestRegressor(),0.9979308056659152,0.989387545805327
344_mv,GradientBoostingRegressor(),0.9992428619340172,0.9908034064417236
529_pollen,DecisionTreeRegressor(max_depth=1),0.2218018358471628,0.1550083531477905
529_pollen,DecisionTreeRegressor(max_depth=4),0.6411278705060754,0.3094392537160807
529_pollen,RandomForestRegressor(),0.9429304852767202,0.6149003712399952
529_pollen,GradientBoostingRegressor(),0.92825767325766,0.652604355029039
537_houses,DecisionTreeRegressor(max_depth=1),0.4339854160204784,0.2717812994283082
537_houses,DecisionTreeRegressor(max_depth=4),0.7878202456383492,0.483156365462735
537_houses,RandomForestRegressor(),0.9515746734221934,0.588421820842658
537_houses,GradientBoostingRegressor(),0.9612112284779516,0.6140678754062159
564_fried,DecisionTreeRegressor(max_depth=1),0.240163060223653,0.2384384418366831
564_fried,DecisionTreeRegressor(max_depth=4),0.7614346741515777,0.4860272444606049
564_fried,RandomForestRegressor(),0.9645727565807484,0.7953614645199031
564_fried,GradientBoostingRegressor(),0.9905509179200778,0.871795695398019
banana,DecisionTreeRegressor(max_depth=1),0.0807498549831172,0.0141387929830806
banana,DecisionTreeRegressor(max_depth=4),0.5833550826704192,0.3618902192682856
banana,RandomForestRegressor(),0.937917318727178,0.6021530741526848
banana,GradientBoostingRegressor(),0.8970713218859566,0.5506302288442688
titanic,DecisionTreeRegressor(max_depth=1),0.2635413367120683,0.1969944984350315
titanic,DecisionTreeRegressor(max_depth=4),0.3304333928693427,0.2615575256424052
titanic,RandomForestRegressor(),0.3430385493683218,0.2704105983479935
titanic,GradientBoostingRegressor(),0.3449104778031294,0.2678892241002186
1193_BNG_lowbwt,QG-r1-aic-7,0.5992825671736183,0.5396267139560884
1196_BNG_pharynx,QG-r1-aic-7,0.5615845259518906,0.3711319581711618
1199_BNG_echoMonths,QG-r1-aic-7,0.4594817284850678,0.3900651680009322
1201_BNG_breastTumor,QG-r1-aic-7,0.1578565325950226,0.0176035739670809
1203_BNG_pwLinear,QG-r1-aic-7,0.6161447440957184,0.5424550981981189
1595_poker,QG-r1-aic-7,0.1511481578139447,-0.1584728875010856
