dataset,model,randomseed,train_r2,test_r2,json
1193_BNG_lowbwt,GradientBoostingRegressor(n_estimators=200),3,0.9424175076041822,0.4453475857925822,
1193_BNG_lowbwt,LinearRegression(),4,0.6159459058258805,0.5596076976334792,
1193_BNG_lowbwt,"Lasso(alpha=0.05, max_iter=100000)",4,0.6159457678048907,0.5596599684254767,
1193_BNG_lowbwt,RandomForestRegressor(n_estimators=200),4,0.9488078648644992,0.5183890063679846,
1193_BNG_lowbwt,GradientBoostingRegressor(n_estimators=200),4,0.9522915335642496,0.4803348227986685,
1196_BNG_pharynx,LinearRegression(),0,0.5242403585098148,0.4066684759065071,
1196_BNG_pharynx,"Lasso(alpha=0.05, max_iter=100000)",0,0.5242400550407824,0.4067646635584339,
1196_BNG_pharynx,RandomForestRegressor(n_estimators=200),0,0.9296980760259212,0.3904745986634562,
1196_BNG_pharynx,GradientBoostingRegressor(n_estimators=200),0,0.942691657155971,0.3344212521877449,
1196_BNG_pharynx,LinearRegression(),1,0.3960980854915338,0.3836467634649215,
1196_BNG_pharynx,"Lasso(alpha=0.05, max_iter=100000)",1,0.3960977913128951,0.3837048500186352,
1196_BNG_pharynx,RandomForestRegressor(n_estimators=200),1,0.90807821328229,0.3615011778113141,
1196_BNG_pharynx,GradientBoostingRegressor(n_estimators=200),1,0.915375128694062,0.3066154431312874,
1196_BNG_pharynx,LinearRegression(),2,0.4038750294133294,0.3704216786586587,
1196_BNG_pharynx,"Lasso(alpha=0.05, max_iter=100000)",2,0.4038747186395435,0.3704777814193257,
1196_BNG_pharynx,RandomForestRegressor(n_estimators=200),2,0.9136456404061728,0.3482457739652741,
1196_BNG_pharynx,GradientBoostingRegressor(n_estimators=200),2,0.9336763793704228,0.2594575295364573,
1196_BNG_pharynx,LinearRegression(),3,0.5578499811748222,0.3823617732478056,
1196_BNG_pharynx,"Lasso(alpha=0.05, max_iter=100000)",3,0.5578497167616712,0.3825555976053528,
1196_BNG_pharynx,RandomForestRegressor(n_estimators=200),3,0.9282237493736264,0.3885486664984517,
1196_BNG_pharynx,GradientBoostingRegressor(n_estimators=200),3,0.9510863145666792,0.2872214797787867,
1196_BNG_pharynx,LinearRegression(),4,0.5274814172272055,0.4072041959760892,
1196_BNG_pharynx,"Lasso(alpha=0.05, max_iter=100000)",4,0.5274810925317299,0.4072258268324172,
1196_BNG_pharynx,RandomForestRegressor(n_estimators=200),4,0.9252085622395254,0.4282495660864784,
1196_BNG_pharynx,GradientBoostingRegressor(n_estimators=200),4,0.9386539577199436,0.3741462226528925,
1199_BNG_echoMonths,LinearRegression(),0,0.4514098006248207,0.4120456672128338,
1199_BNG_echoMonths,"Lasso(alpha=0.05, max_iter=100000)",0,0.4511310594344879,0.4148305137618772,
1199_BNG_echoMonths,RandomForestRegressor(n_estimators=200),0,0.9130351819293906,0.3671207403460658,
1199_BNG_echoMonths,GradientBoostingRegressor(n_estimators=200),0,0.96111635144921,0.2827741060852488,
1199_BNG_echoMonths,LinearRegression(),1,0.4379156895167335,0.4298237074771777,
1199_BNG_echoMonths,"Lasso(alpha=0.05, max_iter=100000)",1,0.4374467364008845,0.430661626881856,
1199_BNG_echoMonths,RandomForestRegressor(n_estimators=200),1,0.9013153581138662,0.386936953929241,
1199_BNG_echoMonths,GradientBoostingRegressor(n_estimators=200),1,0.9492977401303812,0.2791972213767929,
1199_BNG_echoMonths,LinearRegression(),2,0.5139627715448034,0.4126251912838095,
1199_BNG_echoMonths,"Lasso(alpha=0.05, max_iter=100000)",2,0.5134517188149815,0.4124216312248097,
1199_BNG_echoMonths,RandomForestRegressor(n_estimators=200),2,0.921951285500845,0.3710194298278871,
1199_BNG_echoMonths,GradientBoostingRegressor(n_estimators=200),2,0.958768670016524,0.3060146585589741,
1199_BNG_echoMonths,LinearRegression(),3,0.4310738945912031,0.4213048441879737,
1199_BNG_echoMonths,"Lasso(alpha=0.05, max_iter=100000)",3,0.430860624305502,0.4232965204777591,
